,state,abrev,area
0,Alabama,AL,52420
1,Alaska,AK,665384
2,Arizona,AZ,113990
3,Arkansas,AR,53179
4,California,CA,163695
5,Colorado,CO,104094
6,Connecticut,CT,5543
7,Delaware,DE,2489
8,Florida,FL,65758
9,Georgia,GA,59425
10,Hawaii,HI,10932
11,Idaho,ID,83569
12,Illinois,IL,57914
13,Indiana,IN,36420
14,Iowa,IA,56273
15,Kansas,KS,82278
16,Kentucky,KY,40408
17,Louisiana,LA,52378
18,Maine,ME,35380
19,Maryland,MD,12406
20,Massachusetts,MA,10554
21,Michigan,MI,96714
22,Minnesota,MN,86936
23,Mississippi,MS,48432
24,Missouri,MO,69707
25,Montana,MT,147040
26,Nebraska,NE,77348
27,Nevada,NV,110572
28,New Hampshire,NH,9349
29,New Jersey,NJ,8723
30,New Mexico,NM,121590
31,New York,NY,54555
32,North Carolina,NC,53819
33,North Dakota,ND,70698
34,Ohio,OH,44826
35,Oklahoma,OK,69899
36,Oregon,OR,98379
37,Pennsylvania,PA,46054
38,Rhode Island,RI,1545
39,South Carolina,SC,32020
40,South Dakota,SD,77116
41,Tennessee,TN,42144
42,Texas,TX,268596
43,Utah,UT,84897
44,Vermont,VT,9616
45,Virginia,VA,42775
46,Washington,WA,71298
47,West Virginia,WV,24230
48,Wisconsin,WI,65496
49,Wyoming,WY,97813
